0 0 0
0 1 1 200
0 2 1 200
0 3 1 200
0 4 1 200
0 5 1 200
0 6 1 200
0 7 1 200
0 8 1 200
0 9 1 200
0 10 1 200
0 11 1 200
0 12 1 200
0 13 1 200
0 14 2
0 15 1 200
0 16 1 200
0 17 1 200
0 18 1 200
0 19 1 200
0 20 1 200
0 21 1 200
0 22 1 200
0 23 1 200
0 24 1 200
0 25 1 200
0 26 1 200
0 27 1 200
0 28 6
1 28 1 500
2 28 1 500
3 28 1 500
4 28 1 500
5 28 1 500
6 28 1 500
7 28 4
7 27 1 300
7 26 1 300
7 25 1 300
7 24 1 300
7 23 1 300
7 22 1 300
7 21 1 300
7 20 1 300
7 19 1 300
7 18 1 300
7 17 1 300
7 16 1 300
7 15 1 300
7 14 3
7 13 1 300
7 12 1 300
7 11 1 300
7 10 1 300
7 9 1 300
7 8 1 300
7 7 1 300
7 6 1 300
7 5 1 300
7 4 1 300
7 3 1 300
7 2 1 300
7 1 1 300
7 0 5
6 0 7 60
5 0 7 80
4 0 7 40
3 0 7 100
2 0 7 80
1 0 7 20
